year,0-,1-,2-,3-,4-,5-,6-,7-,8-,9-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,Unknown
2005,6,5,9,14,13,11,7,11,13,10,85,67,233,775,1163,1142,799,379,401,204,140,71,38,18,5,2,0
2006,4,3,12,10,12,8,15,11,10,9,80,56,301,851,1348,1302,1063,468,466,293,142,109,59,28,7,4,0
2007,3,6,30,16,24,19,16,16,6,10,94,110,532,1352,1830,1854,1319,687,586,447,366,194,133,47,13,2,15
2008,2,6,24,23,27,17,11,11,13,3,80,80,473,1188,1776,1809,1455,870,688,569,389,285,174,64,18,4,0
2009,1,8,31,28,20,24,18,12,10,7,59,105,589,1361,2075,2330,1946,1284,921,852,650,407,323,164,44,12,0
2010,5,11,21,17,12,19,23,10,6,13,37,156,888,1796,2213,2546,2205,1657,1136,1147,792,605,399,199,59,10,0
2011,1,14,15,21,20,19,19,14,17,11,38,225,1143,2048,2595,3120,2799,2253,1382,1553,1202,820,658,334,111,18,0
2012,4,61,68,55,32,34,35,39,22,24,72,628,3211,5431,5982,6059,5188,4072,2469,2730,2260,1586,1084,557,170,39,17
2013,3,43,39,31,31,32,22,29,29,21,76,581,3274,5066,5635,5638,5419,4308,2837,2948,2478,1768,1146,609,188,32,3
2014,2,42,30,33,36,29,34,16,20,15,66,718,3383,5524,5538,5627,5570,4763,3479,3186,2881,1968,1270,644,226,42,3
2015,8,11,15,15,21,22,22,20,20,23,90,539,2874,5679,5906,5851,6633,5783,4404,3508,3508,2470,1648,877,299,84,0
2016,1,4,13,20,25,25,32,23,25,23,100,581,3065,6069,6193,6085,6909,6098,5300,3605,4037,2922,1755,998,353,99,0
2017,6,4,14,16,16,27,18,35,30,31,138,566,2870,5807,6229,6036,6731,6630,6083,3886,4590,3372,2186,1224,503,146,0
2018,3,3,13,19,27,42,34,32,32,38,134,567,3041,5840,6720,6818,7056,7360,6870,4816,5422,4237,2676,1554,597,219,0
2019,0,3,12,17,22,35,34,31,34,30,153,602,2962,5731,7007,6545,7164,8209,7915,6202,6207,5538,3437,2166,878,270,0
2020,4,3,4,8,13,14,22,20,16,25,125,501,2463,4345,6085,5588,6046,7217,7340,6134,5175,4987,3237,1839,721,235,0
