Rank,Province,Region,Population_10k,Cumulative_cases,Cumulative_deaths,Cumulative_incidence_per_100k,Mean_annual_incidence_per_100k,Mean_annual_mortality_per_100k,Case_fatality_rate_pct,National_proportion_pct
1,Sichuan Province,Western,8367,97093,24243,116.04,0.6619251555846708,0.17700199803471997,24.97,17.02
2,Guangxi Zhuang Autonomous Region,Western,5013,80098,32384,159.78,0.9843679418273791,0.4554983243755928,40.43,14.04
3,Yunnan Province,Western,4721,63663,22094,134.85,0.6928827790582811,0.2642930194270662,34.7,11.16
4,Guangdong Province,Eastern,12601,41482,9991,32.92,0.21052192823486773,0.06461098223994201,24.09,7.27
5,Henan Province,Central,9937,40701,20701,40.96,0.21763562631420846,0.10630474617002103,50.86,7.13
6,Chongqing Municipality,Western,3205,27469,7187,85.71,0.6683442182763101,0.19749822433954092,26.16,4.81
7,Hunan Province,Central,6644,27236,9018,40.99,0.25965541327124564,0.09442149786573535,33.11,4.77
8,Guizhou Province,Western,3856,26398,8048,68.46,0.639482018510357,0.21831119435874835,30.49,4.63
9,Xinjiang Uyghur Autonomous Region,Western,2585,20460,7547,79.15,0.5430343043478261,0.20863234782608694,36.89,3.59
10,Zhejiang Province,Eastern,6457,15990,2362,24.76,0.19158890417239796,0.03603709307657038,14.77,2.8
11,Jiangsu Province,Eastern,8475,13890,2433,16.39,0.1184265750828991,0.02280592136428233,17.52,2.43
12,Hubei Province,Central,5775,13284,4269,23.0,0.15083587619877942,0.05261778552746295,32.14,2.33
13,Jiangxi Province,Central,4519,12257,3647,27.12,0.2362772357723577,0.08756892502258357,29.75,2.15
14,Anhui Province,Central,6103,11488,2950,18.82,0.1242317564607972,0.0403304152637486,25.68,2.01
15,Liaoning Province,Northeastern,4259,8560,1433,20.1,0.16798593200468934,0.028793786635404453,16.74,1.5
16,Fujian Province,Eastern,4154,8461,1636,20.37,0.1738743830207305,0.04258228035538006,19.34,1.48
17,Shaanxi Province,Western,3953,7341,1407,18.57,0.16439382494004798,0.03583729016786571,19.17,1.29
18,Beijing Municipality,Eastern,2189,6874,494,31.4,0.2636096178343949,0.02330382165605096,7.19,1.2
19,Hebei Province,Eastern,7461,6818,1320,9.14,0.07939554913294797,0.01602005780346821,19.36,1.19
20,Shandong Province,Eastern,10153,6818,1222,6.72,0.0656993876301286,0.01261028781383956,17.92,1.19
21,Shanghai Municipality,Eastern,2487,5776,534,23.22,0.19385052508751457,0.01981919486581097,9.25,1.01
22,Heilongjiang Province,Northeastern,3185,5330,1069,16.73,0.13026529032258066,0.027732258064516128,20.06,0.93
23,Shanxi Province,Central,3492,5297,1267,15.17,0.11846645892351275,0.031079546742209634,23.92,0.93
24,Jilin Province,Northeastern,2407,4891,1248,20.32,0.1644776717557252,0.042895865139949106,25.52,0.86
25,Gansu Province,Western,2502,3745,798,14.97,0.1703223694466095,0.03977887763055339,21.31,0.66
26,Tianjin Municipality,Eastern,1387,2514,391,18.13,0.18101558120362737,0.03240115416323166,15.55,0.44
27,Inner Mongolia Autonomous Region,Western,2405,2320,397,9.65,0.1248089641434263,0.02260328685258964,17.11,0.41
28,Hainan Province,Eastern,1008,1754,626,17.4,0.27442335069444446,0.11140130208333335,35.69,0.31
29,Qinghai Province,Western,592,1396,278,23.58,0.3978340963855421,0.09421228915662651,19.91,0.24
30,Ningxia Hui Autonomous Region,Western,720,856,199,11.89,0.29848330893118596,0.08352957540263543,23.25,0.15
31,Tibet Autonomous Region,Western,365,316,47,8.66,0.4864374074074074,0.07465851851851851,14.87,0.06
